Dataset,Method,ACC,BA,F1,Recall,Precision
NCBI 2020,CAKR,0.913,0.887,0.892,0.887,0.915
NCBI 2020,NVM,0.847,0.807,0.809,0.807,0.84
NCBI 2020,FFP-JS,0.821,0.79,0.781,0.79,0.814
NCBI 2020,FFP-KL,0.819,0.789,0.78,0.789,0.814
NCBI 2020,MKS,0.713,0.644,0.622,0.644,0.668
NCBI 2020,FPS,0.714,0.637,0.633,0.637,0.665
NCBI 2022,CAKR,0.902,0.82,0.824,0.819,0.859
NCBI 2022,NVM,0.852,0.747,0.75,0.747,0.791
NCBI 2022,FFP-JS,0.83,0.74,0.733,0.74,0.769
NCBI 2022,FFP-KL,0.832,0.743,0.735,0.743,0.771
NCBI 2022,MKS,0.724,0.593,0.577,0.593,0.617
NCBI 2022,FPS,0.723,0.588,0.58,0.588,0.603
NCBI 2024,CAKR,0.876,0.792,0.804,0.792,0.853
NCBI 2024,NVM,0.814,0.729,0.738,0.729,0.789
NCBI 2024,FFP-JS,0.796,0.724,0.712,0.724,0.744
NCBI 2024,FFP-KL,0.796,0.727,0.714,0.727,0.747
NCBI 2024,MKS,0.633,0.589,0.554,0.589,0.573
NCBI 2024,FPS,0.66,0.561,0.56,0.561,0.593
NCBI 2024 All,CAKR,0.876,0.794,0.807,0.794,0.853
NCBI 2024 All,NVM,0.809,0.729,0.738,0.729,0.788
NCBI 2024 All,FFP-JS,0.799,0.721,0.711,0.721,0.745
NCBI 2024 All,FFP-KL,0.799,0.724,0.712,0.724,0.745
NCBI 2024 All,MKS,0.638,0.589,0.555,0.589,0.575
NCBI 2024 All,FPS,0.651,0.561,0.559,0.561,0.591
