Accession (version),Accession,Description,Label,New Label,Name,Genomic Length (bp),id,Want,label
AF499637.1,AF499637,AF499637.1 Human coxsackievirus A13 strain Flores| complete genome,HEV_cva-13*,HEV-CV-A13,HEV,7458,1,HEV1,HEV
AF546702.1,AF546702,AF546702.1 Human coxsackievirus A21 strain Kuykendall| complete genome,HEV_cva-21*,HEV-CV-A21,HEV,7406,2,HEV2,HEV
AY751783.1,AY751783,AY751783.1 Human rhinovirus 39| complete genome,A_hrv-39*,HRV-A39,A,7137,1,A1,A
DQ473485.1,DQ473485,DQ473485.1 Rhinovirus B3| complete genome,B_hrv-03*,HRV-B03,B,7208,1,B1,B
DQ473486.1,DQ473486,DQ473486.1 Rhinovirus B6| complete genome,B_hrv-06*,HRV-B06,B,7216,2,B2,B
DQ473488.1,DQ473488,DQ473488.1 Rhinovirus B48| complete genome,B_hrv-48*,HRV-B48,B,7214,3,B3,B
DQ473489.1,DQ473489,DQ473489.1 Rhinovirus B70| complete genome,B_hrv-70*,HRV-B70,B,7223,4,B4,B
DQ473490.1,DQ473490,DQ473490.1 Rhinovirus B4| complete genome,B_hrv-04*,HRV-B04,B,7212,5,B5,B
DQ473491.1,DQ473491,DQ473491.1 Rhinovirus A41| complete genome,A_hrv-41*,HRV-A41,A,7145,2,A2,A
DQ473492.1,DQ473492,DQ473492.1 Rhinovirus A73| complete genome,A_hrv-73*,HRV-A73,A,7140,3,A3,A
DQ473493.1,DQ473493,DQ473493.1 Rhinovirus A15| complete genome,A_hrv-15*,HRV-A15,A,7134,4,A4,A
DQ473494.1,DQ473494,DQ473494.1 Rhinovirus A74| complete genome,A_hrv-74*,HRV-A74,A,7120,5,A5,A
DQ473496.1,DQ473496,DQ473496.1 Rhinovirus A49| complete genome,A_hrv-49*,HRV-A49,A,7106,6,A6,A
DQ473497.1,DQ473497,DQ473497.1 Rhinovirus A23| complete genome,A_hrv-23*,HRV-A23,A,7025,7,A7,A
DQ473499.1,DQ473499,DQ473499.1 Human rhinovirus A44| complete genome,A_hrv-44*,HRV-A44,A,7123,8,A8,A
DQ473500.1,DQ473500,DQ473500.1 Rhinovirus A59| complete genome,A_hrv-59*,HRV-A59,A,7135,9,A9,A
DQ473504.1,DQ473504,DQ473504.1 Rhinovirus A88| complete genome,A_hrv-88*,HRV-A88,A,7143,10,A10,A
DQ473505.1,DQ473505,DQ473505.1 Rhinovirus A36| complete genome,A_hrv-36*,HRV-A36,A,7141,11,A11,A
DQ473506.1,DQ473506,DQ473506.1 Rhinovirus A46| complete genome,A_hrv-46*,HRV-A46,A,7149,12,A12,A
DQ473507.1,DQ473507,DQ473507.1 Rhinovirus A53| complete genome,A_hrv-53*,HRV-A53,A,7143,13,A13,A
DQ473508.1,DQ473508,DQ473508.1 Rhinovirus A28| complete genome,A_hrv-28*,HRV-A28,A,7148,14,A14,A
DQ473510.1,DQ473510,DQ473510.1 Rhinovirus A75| complete genome,A_hrv-75*,HRV-A75,A,7137,15,A15,A
DQ473511.1,DQ473511,DQ473511.1 Rhinovirus A55| complete genome,A_hrv-55*,HRV-A55,A,7036,16,A16,A
EF077279.1,EF077279,EF077279.1 Rhinovirus C1 isolate NAT001 polyprotein gene| complete cds,C_nat001*,HRV-C01-NAT001,C,6944,1,C1,C
EF077280.1,EF077280,EF077280.1 Rhinovirus C2 isolate NAT045 polyprotein gene| complete cds,C_nat045*,HRV-C02-NAT045,C,7015,2,C2,C
EF173414.1,EF173414,EF173414.1 Human rhinovirus 11| complete genome,A_hrv-11*,HRV-A11,A,7125,17,A17,A
EF173415.1,EF173415,EF173415.1 Human rhinovirus 12| complete genome,A_hrv-12*,HRV-A12,A,7124,18,A18,A
EF173420.1,EF173420,EF173420.1 Human rhinovirus 17| complete genome,B_hrv-17*,HRV-B17,B,7219,6,B6,B
EF173423.1,EF173423,EF173423.1 Human rhinovirus 37| complete genome,B_hrv-37*,HRV-B37,B,7216,7,B7,B
EF173425.1,EF173425,EF173425.1 Human rhinovirus 93| complete genome,B_hrv-93*,HRV-B93,B,7215,8,B8,B
EF186077.2,EF186077,EF186077.2 Human rhinovirus C3 strain HRV-QPM| complete genome,C_qpm*,HRV-C03-QPM,C,7134,3,C3,C
EF582385.1,EF582385,EF582385.1 Rhinovirus C4| complete genome,C_c024*,HRV-C024,C,7099,4,C4,C
EF582386.1,EF582386,EF582386.1 Rhinovirus C5| complete genome,C_c025*,HRV-C025,C,7114,5,C5,C
EF582387.1,EF582387,EF582387.1 Rhinovirus C6| complete genome,C_c026*,HRV-C026,C,7086,6,C6,C
FJ445111.1,FJ445111,FJ445111.1 Human rhinovirus 1 strain ATCC VR-1559| complete genome,A_hrv-01,HRV-A01,A,7137,19,A19,A
FJ445112.1,FJ445112,FJ445112.1 Human rhinovirus 5 strain ATCC VR-485| complete genome,B_hrv-05,HRV-B05,B,7212,9,B9,B
FJ445113.1,FJ445113,FJ445113.1 Human rhinovirus 8 strain ATCC VR-1118| complete genome,A_hrv-08,HRV-A08,A,7108,20,A20,A
FJ445114.1,FJ445114,FJ445114.1 Human rhinovirus 9 isolate F01| complete genome,A_hrv-09-f01,HRV-A09-F01,A,7134,21,A21,A
FJ445115.1,FJ445115,FJ445115.1 Human rhinovirus 9 isolate F02| complete genome,A_hrv-09-f02,HRV-A09-F02,A,7133,22,A22,A
FJ445116.1,FJ445116,FJ445116.1 Human rhinovirus 13 strain ATCC VR-1123| complete genome,A_hrv-13,HRV-A13,A,7140,23,A23,A
FJ445117.1,FJ445117,FJ445117.1 Human rhinovirus 13 isolate F03| complete genome,A_hrv-13-f03,HRV-A13-F03,A,7143,24,A24,A
FJ445118.1,FJ445118,FJ445118.1 Human rhinovirus 18 strain ATCC VR-1128| complete genome,A_hrv-18,HRV-A18,A,7119,25,A25,A
FJ445119.1,FJ445119,FJ445119.1 Human rhinovirus 19 strain ATCC VR-1129| complete genome,A_hrv-19,HRV-A19,A,7135,26,A26,A
FJ445121.1,FJ445121,FJ445121.1 Human rhinovirus 21 strain ATCC VR-1131| complete genome,A_hrv-21,HRV-A21,A,7134,27,A27,A
FJ445122.1,FJ445122,FJ445122.1 Human rhinovirus 22 strain ATCC VR-1132| complete genome,A_hrv-22,HRV-A22,A,7129,28,A28,A
FJ445123.1,FJ445123,FJ445123.1 Human rhinovirus 25 strain ATCC VR-1135| complete genome,A_hrv-25,HRV-A25,A,7126,29,A29,A
FJ445124.1,FJ445124,FJ445124.1 Human rhinovirus 26 strain ATCC VR-1136| complete genome,B_hrv-26,HRV-B26,B,7211,10,B10,B
FJ445125.1,FJ445125,FJ445125.1 Human rhinovirus 29 strain ATCC VR-1139| complete genome,A_hrv-29,HRV-A29,A,7123,30,A30,A
FJ445126.1,FJ445126,FJ445126.1 Human rhinovirus 31 strain ATCC VR-506| complete genome,A_hrv-31,HRV-A31,A,7131,31,A31,A
FJ445127.1,FJ445127,FJ445127.1 Human rhinovirus 32 strain ATCC VR-1142| complete genome,A_hrv-32,HRV-A32,A,7133,32,A32,A
FJ445128.1,FJ445128,FJ445128.1 Human rhinovirus 33 strain ATCC VR-330| complete genome,A_hrv-33,HRV-A33,A,7133,33,A33,A
FJ445129.1,FJ445129,FJ445129.1 Human rhinovirus 40 strain ATCC VR-341| complete genome,A_hrv-40,HRV-A40,A,7138,34,A34,A
FJ445130.1,FJ445130,FJ445130.1 Human rhinovirus 42 strain ATCC VR-338| complete genome,B_hrv-42,HRV-B42,B,7223,11,B11,B
FJ445131.1,FJ445131,FJ445131.1 Human rhinovirus 43 strain ATCC VR-1153| complete genome,A_hrv-43,HRV-A43,A,7129,35,A35,A
FJ445132.1,FJ445132,FJ445132.1 Human rhinovirus 45 strain ATCC VR-1155| complete genome,A_hrv-45,HRV-A45,A,7114,36,A36,A
FJ445133.1,FJ445133,FJ445133.1 Human rhinovirus 47 strain ATCC VR-1157| complete genome,A_hrv-47,HRV-A47,A,7132,37,A37,A
FJ445134.1,FJ445134,FJ445134.1 Human rhinovirus 49 isolate F04| complete genome,A_hrv-49-f04,HRV-A49-F04,A,7109,38,A38,A
FJ445135.1,FJ445135,FJ445135.1 Human rhinovirus 50 strain ATCC VR-517| complete genome,A_hrv-50,HRV-A50,A,7118,39,A39,A
